Seed,Tier,Algo,FinalReward,MaxStabError,Diverged
7001,1,EGP,-0.457839,0.012946286,1
7002,1,EGP,-56.016014,2.657917,1
7003,1,EGP,-0.059071727,0.02558203,1
7004,1,EGP,-0.02061196,0.90884,1
7005,1,EGP,-82.617805,4.3234563,1
7006,1,EGP,-82.997314,30.986832,1
7007,1,EGP,-65.39237,2.254835,1
7008,1,EGP,-66.96921,0.5486079,1
7009,1,EGP,-42.094894,8.745151,1
7010,1,EGP,-68.1718,0.348591,1
7001,1,FPRL,-0.457839,0.012946286,1
7002,1,FPRL,-56.016014,2.657917,1
7003,1,FPRL,-0.059071727,0.02558203,1
7004,1,FPRL,-0.02061196,0.90884,1
7005,1,FPRL,-82.617805,4.3234563,1
7006,1,FPRL,-82.997314,30.986832,1
7007,1,FPRL,-65.39237,2.254835,1
7008,1,FPRL,-66.96921,0.5486079,1
7009,1,FPRL,-42.094894,8.745151,1
7010,1,FPRL,-68.1718,0.348591,1
7001,1,PPO,-0.457839,0.012946286,1
7002,1,PPO,-56.016014,2.657917,1
7003,1,PPO,-0.059071727,0.02558203,1
7004,1,PPO,-0.02061196,0.90884,1
7005,1,PPO,-82.617805,4.3234563,1
7006,1,PPO,-82.997314,30.986832,1
7007,1,PPO,-65.39237,2.254835,1
7008,1,PPO,-66.96921,0.5486079,1
7009,1,PPO,-42.094894,8.745151,1
7010,1,PPO,-68.1718,0.348591,1
7001,1,SAC,-0.94531995,0.021067338,1
7002,1,SAC,-21.68056,2.0647943,1
7003,1,SAC,-3.1556232,0.027054137,1
7004,1,SAC,-27.71414,0.0141376285,1
7005,1,SAC,-73.16495,4.3234563,1
7006,1,SAC,-82.80121,31.160414,1
7007,1,SAC,-65.8661,2.3727984,1
7008,1,SAC,-16.915283,8.491994,1
7009,1,SAC,-76.21991,7.848575,1
7010,1,SAC,-53.819805,1.8754314,1
7001,1,ICRL,-0.457839,0.012946286,1
7002,1,ICRL,-56.016014,2.657917,1
7003,1,ICRL,-0.059071727,0.02558203,1
7004,1,ICRL,-0.02061196,0.90884,1
7005,1,ICRL,-82.617805,4.3234563,1
7006,1,ICRL,-82.997314,30.986832,1
7007,1,ICRL,-65.39237,2.254835,1
7008,1,ICRL,-66.96921,0.5486079,1
7009,1,ICRL,-42.094894,8.745151,1
7010,1,ICRL,-68.1718,0.348591,1
7001,2,EGP,-5.3024416,1.2939286,1
7002,2,EGP,-9521.911,12532.959,1
7003,2,EGP,-5.184646,2.5567446,1
7004,2,EGP,-5233.2407,1643.4082,1
7005,2,EGP,-6345.395,35.576904,1
7006,2,EGP,-9596.543,55203.63,1
7007,2,EGP,-8623.634,3191.3638,1
7008,2,EGP,-8955.432,6116.173,1
7009,2,EGP,-9222.05,6923.2905,1
7010,2,EGP,-6.4130077,1.6856937,1
7001,2,FPRL,-5.3024416,1.2939286,1
7002,2,FPRL,-9521.911,12532.959,1
7003,2,FPRL,-5.184646,2.5567446,1
7004,2,FPRL,-5233.2407,1643.4082,1
7005,2,FPRL,-6345.395,35.576904,1
7006,2,FPRL,-9596.543,55203.63,1
7007,2,FPRL,-8623.634,3191.3638,1
7008,2,FPRL,-8955.432,6116.173,1
7009,2,FPRL,-9222.05,6923.2905,1
7010,2,FPRL,-6.4130077,1.6856937,1
7001,2,PPO,-5.3024416,1.2939286,1
7002,2,PPO,-9521.911,12532.959,1
7003,2,PPO,-5.184646,2.5567446,1
7004,2,PPO,-5233.2407,1643.4082,1
7005,2,PPO,-6345.395,35.576904,1
7006,2,PPO,-9596.543,55203.63,1
7007,2,PPO,-8623.634,3191.3638,1
7008,2,PPO,-8955.432,6116.173,1
7009,2,PPO,-9222.05,6923.2905,1
7010,2,PPO,-6.4130077,1.6856937,1
7001,2,SAC,-5.1733327,2.106635,1
7002,2,SAC,-9403.488,12532.959,1
7003,2,SAC,-5.1158075,2.7054136,1
7004,2,SAC,-8271.514,1633.6641,1
7005,2,SAC,-5530.713,35.576904,1
7006,2,SAC,-9590.685,55203.63,1
7007,2,SAC,-8469.864,3191.3638,1
7008,2,SAC,-9368.476,2953.4788,1
7009,2,SAC,-9498.055,6923.2905,1
7010,2,SAC,-3.814742,1.046628,1
7001,2,ICRL,-5.3024416,1.2939286,1
7002,2,ICRL,-9521.911,12532.959,1
7003,2,ICRL,-5.184646,2.5567446,1
7004,2,ICRL,-5233.2407,1643.4082,1
7005,2,ICRL,-6345.395,35.576904,1
7006,2,ICRL,-9596.543,55203.63,1
7007,2,ICRL,-8623.634,3191.3638,1
7008,2,ICRL,-8955.432,6116.173,1
7009,2,ICRL,-9222.05,6923.2905,1
7010,2,ICRL,-6.4130077,1.6856937,1
7001,3,EGP,-4398.169,9.137656,1
7002,3,EGP,-55.271748,3.0320022,1
7003,3,EGP,-5078.535,2.5877612,1
7004,3,EGP,-547.6315,1.8719896,1
7005,3,EGP,-8501.733,2.3407586,1
7006,3,EGP,-11116.725,108.25343,1
7007,3,EGP,-9560.098,15.715943,1
7008,3,EGP,-10970.0625,4.6410728,1
7009,3,EGP,-15.792935,1.7650621,1
7010,3,EGP,-8394.112,17.82975,1
7001,3,FPRL,-4398.169,9.137656,1
7002,3,FPRL,-55.271748,3.0320022,1
7003,3,FPRL,-5078.535,2.5877612,1
7004,3,FPRL,-547.6315,1.8719896,1
7005,3,FPRL,-8501.733,2.3407586,1
7006,3,FPRL,-11116.725,108.25343,1
7007,3,FPRL,-9560.098,15.715943,1
7008,3,FPRL,-10970.0625,4.6410728,1
7009,3,FPRL,-15.792935,1.7650621,1
7010,3,FPRL,-8394.112,17.82975,1
7001,3,PPO,-4398.169,9.137656,1
7002,3,PPO,-55.271748,3.0320022,1
7003,3,PPO,-5078.535,2.5877612,1
7004,3,PPO,-547.6315,1.8719896,1
7005,3,PPO,-8501.733,2.3407586,1
7006,3,PPO,-11116.725,108.25343,1
7007,3,PPO,-9560.098,15.715943,1
7008,3,PPO,-10970.0625,4.6410728,1
7009,3,PPO,-15.792935,1.7650621,1
7010,3,PPO,-8394.112,17.82975,1
7001,3,SAC,-115.21116,9.137656,1
7002,3,SAC,-7.7165594,3.0320027,1
7003,3,SAC,-5698.772,2.7069077,1
7004,3,SAC,-4688.7886,11.420767,1
7005,3,SAC,-7859.939,2.488823,1
7006,3,SAC,-10870.835,108.25343,1
7007,3,SAC,-9143.067,1.9766223,1
7008,3,SAC,-7539.284,4.6410728,1
7009,3,SAC,-30.326485,3.2942276,1
7010,3,SAC,-10786.81,4.981487,1
7001,3,ICRL,-4398.169,9.137656,1
7002,3,ICRL,-55.271748,3.0320022,1
7003,3,ICRL,-5078.535,2.5877612,1
7004,3,ICRL,-547.6315,1.8719896,1
7005,3,ICRL,-8501.733,2.3407586,1
7006,3,ICRL,-11116.725,108.25343,1
7007,3,ICRL,-9560.098,15.715943,1
7008,3,ICRL,-10970.0625,4.6410728,1
7009,3,ICRL,-15.792935,1.7650621,1
7010,3,ICRL,-8394.112,17.82975,1
