Seed,Tier,Algo,FinalReward,AvgRecentReward,MaxStabError,Diverged
5001,1,PPO,-9.57138,-724194.75,0.014216739,1
5002,1,PPO,-0.032681245,-335.00638,0.01573168,1
5003,1,PPO,-1944.749,-692321.9,0.015319426,1
5004,1,PPO,-128.03935,-17736.979,0.022253942,1
5005,1,PPO,-919881.6,-4.4944586e8,0.014722884,1
5006,1,PPO,-266824.53,-4.167314e7,0.010702852,1
5007,1,PPO,-6.8719025,-1208.5208,0.022910712,1
5008,1,PPO,-0.6430934,-1267.2175,0.01479286,1
5009,1,PPO,-177780.16,-1.5094648e7,0.029289782,1
5010,1,PPO,-0.022716064,-33.894413,0.014419434,1
5011,1,PPO,-0.77310425,-227.24669,0.016891291,1
5012,1,PPO,-1.7325128e7,-1.3005967e11,0.013201707,1
5013,1,PPO,-30.24287,-22.264593,0.020073734,1
5014,1,PPO,-1146.5499,-57.91555,0.01733013,1
5015,1,PPO,-9.39277e12,-944787.5,0.01421484,1
5016,1,PPO,-0.0073915226,-7.6852574,0.014705578,1
5017,1,PPO,-20.384682,-16415.133,0.020130245,1
5018,1,PPO,-7.416461e14,-2.9873296e15,0.015625,1
5019,1,PPO,-9977.103,-1.4624719e7,0.012510974,1
5020,1,PPO,-0.43218282,-16.344261,0.017996427,1
5021,1,PPO,-0.02261145,-8.867042,0.026185267,1
5022,1,PPO,-4.193654,-683.07025,0.021487605,1
5023,1,PPO,-0.904845,-2.0621005e10,0.0138475895,1
5024,1,PPO,-755621.8,-2.8049295e9,0.012299005,1
5025,1,PPO,-0.11519027,-128.14844,0.019520635,1
5026,1,PPO,-299439.16,-906356.2,0.019885128,1
5027,1,PPO,-1.8855599e6,-191.03108,0.019801585,1
5028,1,PPO,-1.4222669e8,-6.0323465e6,0.019159598,1
5029,1,PPO,-1157.3387,-41542.82,0.022717273,1
5030,1,PPO,-4.38579e13,-4.8778543e10,0.012888664,1
5031,1,PPO,-3.3196697e22,-1.0666904e23,0.006490946,1
5032,1,PPO,-1782.4521,-108521.13,0.03210982,1
5033,1,PPO,-0.016915455,-14.99421,0.009792919,1
5034,1,PPO,-0.055353146,-1.2991729e6,0.035860695,1
5035,1,PPO,-0.010128256,-8.517469,0.021825317,1
5036,1,PPO,-0.010627402,-19.546917,0.013840911,1
5037,1,PPO,-0.47205287,-955.508,0.020343209,1
5038,1,PPO,-277.0873,-1.9134045e8,0.018238196,1
5039,1,PPO,-0.009712841,-3.5976176,0.02370416,1
5040,1,PPO,-0.036643952,-20.70409,0.021655932,1
5041,1,PPO,-0.4046807,-62.182358,0.013039951,1
5042,1,PPO,-1972.4252,-107196.74,0.015007755,1
5043,1,PPO,-9.520826e6,-4.3424717e8,0.01680025,1
5044,1,PPO,-3.507665e11,-6408.7646,0.02175176,1
5045,1,PPO,-983.78564,-58076.875,0.0117663015,1
5046,1,PPO,-0.013625425,-6.889034,0.019434651,1
5047,1,PPO,-3.14333e6,-9.994269e9,0.020889282,1
5048,1,PPO,-6.191349e10,-5.448216e8,0.021502398,1
5049,1,PPO,-0.007867407,-9.827092,0.01894148,1
5050,1,PPO,-67953.44,-5.4728884e7,0.01810424,1
5051,1,PPO,-2.9497077e23,-7.8232624e30,0.015625,1
5052,1,PPO,-10916.872,-3.680604e6,0.024671335,1
5053,1,PPO,-0.10019431,-236791.33,0.015864328,1
5054,1,PPO,-0.047062173,-9.459715e7,0.013893836,1
5055,1,PPO,-0.021103954,-4000.0688,0.014618042,1
5056,1,PPO,-2726.5518,-29508.844,0.033530757,1
5057,1,PPO,-781.8114,-133721.81,0.024311204,1
5058,1,PPO,-4940.9575,-8.953769e6,0.018289492,1
5059,1,PPO,-19836.443,-4.3959975e6,0.013641643,1
5060,1,PPO,-721511.2,-1.1547376e6,0.040065944,1
5061,1,PPO,-5.0606334e10,-4.1578722e11,0.020448968,1
5062,1,PPO,-3.2323581e9,-2.0354014e13,0.015625,1
5063,1,PPO,-0.019441895,-7.5369897,0.024109276,1
5064,1,PPO,-255.09291,-29600.61,0.028163945,1
5065,1,PPO,-2.7519597e12,-8.590493e14,0.024571821,1
5066,1,PPO,-0.057627786,-42.94969,0.016391827,1
5067,1,PPO,-30.754738,-2.727761e7,0.018359462,1
5068,1,PPO,-235441.69,-2.4517828e7,0.01872541,1
5069,1,PPO,-0.024584712,-9.377626,0.029333023,1
5070,1,PPO,-2.9775665,-27947.52,0.016595807,1
5071,1,PPO,-4190.2617,-132470.34,0.03554436,1
5072,1,PPO,-28565.293,-2.8313145e6,0.017453209,1
5073,1,PPO,-1516.5604,-782.5146,0.027416348,1
5074,1,PPO,-8.848254e17,-1.0413385e21,0.033706665,1
5075,1,PPO,-5.5621054e21,-9.436344e17,0.016424619,1
5076,1,PPO,-0.051264886,-14.697696,0.020118572,1
5077,1,PPO,-1518.9658,-177072.8,0.025462046,1
5078,1,PPO,-1.1561352e7,-1.3897757e9,0.012447945,1
5079,1,PPO,-0.4922911,-87.25254,0.028796298,1
5080,1,PPO,-0.36214337,-104.75377,0.016756244,1
5081,1,PPO,-2.871856e20,-1.0603677e23,0.01763384,1
5082,1,PPO,-4.344e6,-3.3749637e9,0.01968537,1
5083,1,PPO,-0.03305284,-5.9337378,0.017797235,1
5084,1,PPO,-8.582744,-157.80397,0.011172998,1
5085,1,PPO,-4.1180325,-1.0783951e7,0.014443952,1
5086,1,PPO,-57.398907,-9639.176,0.018455792,1
5087,1,PPO,-1.903738e8,-8.5949825e10,0.020854011,1
5088,1,PPO,-4819.6265,-518000.25,0.018698275,1
5089,1,PPO,-0.0132734105,-4.8355465,0.015905788,1
5090,1,PPO,-65370.227,-1.3262881e6,0.016768942,1
5091,1,PPO,-1529.9181,-4.1497938e6,0.029595625,1
5092,1,PPO,-1.7175404e7,-17.87687,0.021694561,1
5093,1,PPO,-3.178212e15,-319630.44,0.018056266,1
5094,1,PPO,-1.5717547e20,-3.3240995e20,0.013618708,1
5095,1,PPO,-179.28828,-4.709501e9,0.014599557,1
5096,1,PPO,-508.54788,-37.00296,0.017160628,1
5097,1,PPO,-0.18647261,-1056.6509,0.014074876,1
5098,1,PPO,-3058.1516,-764.01263,0.015736062,1
5099,1,PPO,-0.017209727,-6.6284113,0.022888519,1
5100,1,PPO,-1.4624425e6,-5.393365e8,0.024662647,1
