condition,alpha,seed,reward,consistency
Standard RL,0.0,1,-0.057013560086488724,0.09728608280420303
Oracle Only,0.0,1,-0.025561809539794922,0.16902004182338715
Full Reflexive,0.0,1,-0.023229580372571945,0.13184207677841187
Standard RL,0.0,2,-98.03376007080078,0.10000000149011612
Oracle Only,0.0,2,-0.02324005775153637,0.1215871274471283
Full Reflexive,0.0,2,-0.024487879127264023,0.12575489282608032
Standard RL,0.0,3,-0.12023935467004776,0.1297716200351715
Oracle Only,0.0,3,-0.029394935816526413,0.14548105001449585
Full Reflexive,0.0,3,-0.029609961435198784,0.15187247097492218
Standard RL,0.0,4,-81.4051742553711,0.10663092881441116
Oracle Only,0.0,4,-0.02483566291630268,0.15359902381896973
Full Reflexive,0.0,4,-0.019901655614376068,0.14239180088043213
Standard RL,0.0,5,-0.05217783898115158,0.1285972148180008
Oracle Only,0.0,5,-0.020941367372870445,0.13473130762577057
Full Reflexive,0.0,5,-0.02201622538268566,0.14238707721233368
Standard RL,0.5,1,-0.05717708170413971,0.0978478342294693
Oracle Only,0.5,1,-0.025561809539794922,0.16902004182338715
Full Reflexive,0.5,1,-0.022332273423671722,0.13102924823760986
Standard RL,0.5,2,-80.00163269042969,0.10287517309188843
Oracle Only,0.5,2,-0.02324005775153637,0.1215871274471283
Full Reflexive,0.5,2,-0.023029644042253494,0.13013705611228943
Standard RL,0.5,3,-0.048378556966781616,0.13129174709320068
Oracle Only,0.5,3,-0.029394935816526413,0.14548105001449585
Full Reflexive,0.5,3,-0.027959084138274193,0.15683744847774506
Standard RL,0.5,4,-86.73841094970703,0.10477379709482193
Oracle Only,0.5,4,-0.02483566291630268,0.15359902381896973
Full Reflexive,0.5,4,-0.020547308027744293,0.16615623235702515
Standard RL,0.5,5,-0.05531473457813263,0.12883742153644562
Oracle Only,0.5,5,-0.020941367372870445,0.13473130762577057
Full Reflexive,0.5,5,-0.02155953459441662,0.14634597301483154
Standard RL,1.0,1,-0.14571215212345123,0.0980750024318695
Oracle Only,1.0,1,-0.025561809539794922,0.16902004182338715
Full Reflexive,1.0,1,-0.02114289440214634,0.14111316204071045
Standard RL,1.0,2,-94.20284271240234,0.10000000149011612
Oracle Only,1.0,2,-0.02324005775153637,0.1215871274471283
Full Reflexive,1.0,2,-0.02009011059999466,0.13739430904388428
Standard RL,1.0,3,-0.03888474032282829,0.13780763745307922
Oracle Only,1.0,3,-0.029394935816526413,0.14548105001449585
Full Reflexive,1.0,3,-0.027466807514429092,0.15867668390274048
Standard RL,1.0,4,-83.36151123046875,0.10681848227977753
Oracle Only,1.0,4,-0.02483566291630268,0.15359902381896973
Full Reflexive,1.0,4,-0.02003195509314537,0.16043004393577576
Standard RL,1.0,5,-0.078859344124794,0.12706273794174194
Oracle Only,1.0,5,-0.020941367372870445,0.13473130762577057
Full Reflexive,1.0,5,-0.021029146388173103,0.14717280864715576
