condition,tier,alpha,seed,reward,consistency
Standard RL,2,0.0,1,-2459.00927734375,0.9057077169418335
Oracle Only,2,0.0,1,-0.8126813769340515,0.43018001317977905
Full Reflexive,2,0.0,1,-1.607428789138794,0.36827588081359863
Standard RL,2,0.0,2,-2122.514892578125,0.8936846256256104
Oracle Only,2,0.0,2,-1.2097649574279785,0.4584832489490509
Full Reflexive,2,0.0,2,-1.011674165725708,0.43990638852119446
Standard RL,2,0.0,3,-1035.0462646484375,0.8203612565994263
Oracle Only,2,0.0,3,-1.0576882362365723,0.38504141569137573
Full Reflexive,2,0.0,3,-2.4173641204833984,0.4654223322868347
Standard RL,2,0.0,4,-1117.718017578125,0.7785975933074951
Oracle Only,2,0.0,4,-1.878648042678833,0.45292675495147705
Full Reflexive,2,0.0,4,-1.4711918830871582,0.4775356650352478
Standard RL,2,0.0,5,-2366.918212890625,0.8724989295005798
Oracle Only,2,0.0,5,-1.7561415433883667,0.42415279150009155
Full Reflexive,2,0.0,5,-0.7282165288925171,0.4480506479740143
Standard RL,2,0.5,1,-3.1717159748077393,0.3882029354572296
Oracle Only,2,0.5,1,-0.6652461290359497,0.4324430823326111
Full Reflexive,2,0.5,1,-0.8631961345672607,0.3779173195362091
Standard RL,2,0.5,2,-2315.15087890625,1.2022162675857544
Oracle Only,2,0.5,2,-1.6184839010238647,0.45952266454696655
Full Reflexive,2,0.5,2,-0.8921254873275757,0.4399928152561188
Standard RL,2,0.5,3,-97.65643310546875,0.4492417871952057
Oracle Only,2,0.5,3,-0.7532678246498108,0.3882860839366913
Full Reflexive,2,0.5,3,-1.8684343099594116,0.46685314178466797
Standard RL,2,0.5,4,-747.64208984375,1.236510157585144
Oracle Only,2,0.5,4,-1.8152928352355957,0.4707220196723938
Full Reflexive,2,0.5,4,-1.5490819215774536,0.4802683889865875
Standard RL,2,0.5,5,-5437.78759765625,1.0191401243209839
Oracle Only,2,0.5,5,-1.6293997764587402,0.44057151675224304
Full Reflexive,2,0.5,5,-0.7744821906089783,0.45448121428489685
Standard RL,2,1.0,1,-2248.5849609375,1.185838222503662
Oracle Only,2,1.0,1,-0.7045170068740845,0.4264480173587799
Full Reflexive,2,1.0,1,-1.1370527744293213,0.37707841396331787
Standard RL,2,1.0,2,-6399.517578125,1.0526808500289917
Oracle Only,2,1.0,2,-1.4415773153305054,0.4589744508266449
Full Reflexive,2,1.0,2,-1.0391277074813843,0.43966901302337646
Standard RL,2,1.0,3,-4.0796003341674805,0.4260541796684265
Oracle Only,2,1.0,3,-0.42976710200309753,0.39812129735946655
Full Reflexive,2,1.0,3,-1.4128668308258057,0.4711296856403351
Standard RL,2,1.0,4,-1215.143310546875,1.2479829788208008
Oracle Only,2,1.0,4,-1.3202804327011108,0.4640198051929474
Full Reflexive,2,1.0,4,-1.2545945644378662,0.48948898911476135
Standard RL,2,1.0,5,-6314.16455078125,1.0180177688598633
Oracle Only,2,1.0,5,-1.204573392868042,0.4397836923599243
Full Reflexive,2,1.0,5,-0.6989692449569702,0.4585387706756592
