alpha,algo,reward_mean,stab_mean
0.0,PPO,-190.80610353438334,0.4710962827546627
0.0,EGP,-195.30928945690184,0.46574608412564283
0.0,FPRL,-208.3073513406195,0.4557862638560032
0.05,PPO,-190.80610353438334,0.4710962827546627
0.05,EGP,-193.58165011705273,0.46764241390977296
0.05,FPRL,-208.31108430677992,0.45621539948325707
0.1,PPO,-190.80610353438334,0.4710962827546627
0.1,EGP,-191.86989454580214,0.4692943632294389
0.1,FPRL,-208.46241989721563,0.45589460748592875
0.15,PPO,-190.80610353438334,0.4710962827546627
0.15,EGP,-192.57982801958252,0.4690144307374117
0.15,FPRL,-208.48168426143394,0.45590249775363834
0.2,PPO,-190.80610353438334,0.4710962827546627
0.2,EGP,-190.81103449383903,0.47055324479241456
0.2,FPRL,-208.45461645672043,0.45592408485789165
0.25,PPO,-190.80610353438334,0.4710962827546627
0.25,EGP,-190.96214192077824,0.4706450966736728
0.25,FPRL,-208.40814920457524,0.4556061554462551
0.3,PPO,-190.80610353438334,0.4710962827546627
0.3,EGP,-191.31532705475965,0.4702999160245212
0.3,FPRL,-208.39722812082863,0.4553405116058703
0.35,PPO,-190.80610353438334,0.4710962827546627
0.35,EGP,-191.4997064678125,0.4701422489009365
0.35,FPRL,-208.39084157689945,0.45502403991562623
0.4,PPO,-190.80610353438334,0.4710962827546627
0.4,EGP,-191.67253951013964,0.46965197108959716
0.4,FPRL,-208.44272699921254,0.45464127699762286
0.45,PPO,-190.80610353438334,0.4710962827546627
0.45,EGP,-191.55390940731473,0.46944524892723083
0.45,FPRL,-208.6082468629651,0.4545012555038096
0.5,PPO,-190.80610353438334,0.4710962827546627
0.5,EGP,-191.7818961065926,0.469001733018967
0.5,FPRL,-208.6423186999345,0.45428585546961814
0.55,PPO,-190.80610353438334,0.4710962827546627
0.55,EGP,-192.69041746841702,0.4678974746689549
0.55,FPRL,-208.7096779690421,0.4542240460814767
0.6,PPO,-190.80610353438334,0.4710962827546627
0.6,EGP,-193.9554602154647,0.4664251068488718
0.6,FPRL,-208.78190458486537,0.45414142725876505
0.65,PPO,-190.80610353438334,0.4710962827546627
0.65,EGP,-194.77220036639505,0.46528639626013646
0.65,FPRL,-208.9074523728063,0.45404145432721316
0.7,PPO,-190.80610353438334,0.4710962827546627
0.7,EGP,-196.87058886520433,0.4626044915074036
0.7,FPRL,-209.16176152354075,0.45387356632297465
0.75,PPO,-190.80610353438334,0.4710962827546627
0.75,EGP,-197.59453484613215,0.4614551605333211
0.75,FPRL,-209.26664053017097,0.4537099773388615
0.8,PPO,-190.80610353438334,0.4710962827546627
0.8,EGP,-199.06384786091317,0.4592784396458901
0.8,FPRL,-209.37946923504109,0.4535352125742872
0.85,PPO,-190.80610353438334,0.4710962827546627
0.85,EGP,-198.0574209164417,0.45904400479062746
0.85,FPRL,-209.52019087982967,0.45325176291800207
0.9,PPO,-190.80610353438334,0.4710962827546627
0.9,EGP,-201.4628759089365,0.45502257789321454
0.9,FPRL,-209.6374734591869,0.4530594637835813
0.95,PPO,-190.80610353438334,0.4710962827546627
0.95,EGP,-201.3856336845499,0.4541136753029965
0.95,FPRL,-209.7260183852883,0.4529014546640794
1.0,PPO,-190.80610353438334,0.4710962827546627
1.0,EGP,-204.6199763324244,0.4500122365599949
1.0,FPRL,-209.9117284040561,0.4526642026030851
1.05,PPO,-190.80610353438334,0.4710962827546627
1.05,EGP,-207.61166896730916,0.44613429717899206
1.05,FPRL,-210.16994550047121,0.4524415068995518
1.1,PPO,-190.80610353438334,0.4710962827546627
1.1,EGP,-205.4322310065565,0.4477163729192375
1.1,FPRL,-210.4135947242542,0.4522257360486487
1.15,PPO,-190.80610353438334,0.4710962827546627
1.15,EGP,-205.84166670659087,0.44563801166257927
1.15,FPRL,-210.67377735726842,0.4519799321798068
1.2,PPO,-190.80610353438334,0.4710962827546627
1.2,EGP,-206.55647338572243,0.444190633636621
1.2,FPRL,-210.93926342379024,0.4517543804798249
1.25,PPO,-190.80610353438334,0.4710962827546627
1.25,EGP,-209.51049766798337,0.43984631497110743
1.25,FPRL,-211.1509032394215,0.4514728903861366
1.3,PPO,-190.80610353438334,0.4710962827546627
1.3,EGP,-209.15613070441478,0.4404621903987695
1.3,FPRL,-211.44555351583705,0.45127995690075834
1.35,PPO,-190.80610353438334,0.4710962827546627
1.35,EGP,-210.74675400984793,0.4377782079410988
1.35,FPRL,-211.7014935856718,0.4509878596162851
1.4,PPO,-190.80610353438334,0.4710962827546627
1.4,EGP,-216.62996789586765,0.42995380020668944
1.4,FPRL,-211.9812729676772,0.45074626449790084
1.45,PPO,-190.80610353438334,0.4710962827546627
1.45,EGP,-218.75254053838498,0.42636894071888876
1.45,FPRL,-212.16617800091575,0.45055661293764604
1.5,PPO,-190.80610353438334,0.4710962827546627
1.5,EGP,-218.08842772293283,0.4253332683230598
1.5,FPRL,-212.3905972341252,0.45038673882538377
